category_id,category_name,text,choice_a,choice_b,choice_c,choice_d,correct,is_boss
1,Algorithmes,Quelle structure suit le principe premier entré premier sorti ?,Pile,File,Arbre,Table,B,FALSE
1,Algorithmes,Quel tri simple échange les éléments voisins pour les mettre en ordre ?,Tri fusion,Tri à bulles,Tri rapide,Tri tas,B,FALSE
1,Algorithmes,Quelle structure utilise push et pop pour ajouter ou retirer des valeurs ?,File,Pile,Tableau,Dictionnaire,B,FALSE
1,Algorithmes,Comment appelle-t-on la recherche dans une liste triée qui coupe en deux à chaque étape ?,Recherche linéaire,Recherche binaire,Recherche brute force,Recherche aléatoire,B,FALSE
1,Algorithmes,Quel type de boucle répète une action tant qu'une condition est vraie ?,for,while,do forever,loop,B,FALSE
1,Algorithmes,Que renvoie une fonction Python qui ne contient pas de return explicite ?,True,0,None,Une chaîne vide,C,FALSE
1,Algorithmes,Quel mot-clé arrête immédiatement une boucle en Python ?,stop,end,break,exit,C,FALSE
1,Algorithmes,Quel opérateur compare l'égalité entre deux valeurs en Python ?,is,=,==,===,C,FALSE
1,Algorithmes,Quel parcours de graphe visite niveau par niveau ?,DFS,BFS,Greedy,Recuit,B,FALSE
1,Algorithmes,Quelle structure stocke des paires clé valeur ?,Liste,File,Ensemble,Dictionnaire,D,FALSE
1,Algorithmes,Quel tri choisit toujours le plus petit élément restant puis le place au début ?,Tri rapide,Tri par sélection,Tri shell,Tri comptage,B,FALSE
1,Algorithmes,Comment appelle-t-on la méthode qui découpe un problème en sous-problèmes puis combine les réponses ?,Programmation dynamique,Divide and conquer,Brute force,Randomisation,B,FALSE
1,Algorithmes,Quel type d'erreur survient lorsqu'on accède à un indice inexistant dans une liste ?,TypeError,IndexError,KeyError,NameError,B,FALSE
1,Algorithmes,Quel mot-clé sert à définir une fonction en Python ?,func,lambda,def,call,C,FALSE
1,Algorithmes,Comment nomme-t-on la syntaxe [x for x in liste] qui construit une nouvelle liste ?,Slice,List comprehension,Générateur,Filtre,B,FALSE
1,Algorithmes,Quel algorithme de recherche teste un motif en comparant caractère par caractère sans préparation ?,KMP,Knuth-Morris-Pratt,Recherche naïve,Boyer-Moore,C,FALSE
1,Algorithmes,Quelle complexité correspond à une boucle simple parcourant n éléments ?,O(1),O(log n),O(n),O(n log n),C,FALSE
1,Algorithmes,Quel schéma représente les étapes d'un programme sous forme de blocs ?,Organigramme,Table de vérité,Carte heuristique,Schéma entité relation,A,FALSE
1,Algorithmes,Quelle variable spéciale contient tous les arguments supplémentaires dans une fonction Python ?,args,array,input,index,A,FALSE
1,Algorithmes,BOSS Quel algorithme garantit le plus court chemin sur un graphe pondéré sans poids négatifs ?,Bellman-Ford,Dijkstra,Prim,Kruskal,B,TRUE
2,Métiers IT,Qui anime les cérémonies quotidiennes dans Scrum ?,Product Owner,Scrum Master,Designer,QA,B,FALSE
2,Métiers IT,Qui écrit les user stories et priorise le backlog ?,Développeur,Product Owner,DBA,Coach agile,B,FALSE
